-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,25.0,25.0,25.0,25.0,25.0,25.0,starttime,endtime
6,7,8,9,10,11,6,7,8,9,10,11,6,7,8,9,10,11,6,7,8,9,10,11,6,7,8,9,10,11,,
8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,22,19,3,0,0,0,1,0,0,0,0,0,2018-06-02 12:59:00,2018-06-03 03:25:00
8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,22,19,3,0,0,0,1,0,0,0,0,0,2018-06-02 12:59:00,2018-06-03 03:25:00
